time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-03 00:00:00+00:00,4,4,22,1
2024-06-04 00:00:00+00:00,29,18,0,0
2024-06-05 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,0,0,1,1
2024-06-11 00:00:00+00:00,9,8,25,2
2024-06-12 00:00:00+00:00,14,7,9,2
2024-06-13 00:00:00+00:00,2,2,0,0
2024-06-14 00:00:00+00:00,2,2,3,2
2024-06-15 00:00:00+00:00,3,1,0,0
2024-06-16 00:00:00+00:00,2,2,1,1
2024-06-17 00:00:00+00:00,1,1,8,1
2024-06-18 00:00:00+00:00,2,2,2,1
2024-06-19 00:00:00+00:00,5,2,0,0
2024-06-20 00:00:00+00:00,14,8,7,1
2024-06-21 00:00:00+00:00,4,1,7,2
2024-06-22 00:00:00+00:00,5,2,0,0
2024-06-23 00:00:00+00:00,4,1,3,1
2024-06-25 00:00:00+00:00,1,1,12,2
2024-06-26 00:00:00+00:00,0,0,3,1
2024-06-27 00:00:00+00:00,1,1,0,0
2024-06-28 00:00:00+00:00,3,2,0,0
2024-06-29 00:00:00+00:00,5,3,0,0
2024-06-30 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,4,3,0,0
2024-07-02 00:00:00+00:00,0,0,1,1
2024-07-05 00:00:00+00:00,1,1,2,1
2024-07-10 00:00:00+00:00,3,1,0,0
2024-07-14 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,2,1,0,0
2024-07-17 00:00:00+00:00,5,2,0,0
2024-07-19 00:00:00+00:00,7,1,0,0
2024-07-20 00:00:00+00:00,3,2,0,0
2024-07-24 00:00:00+00:00,0,0,13,1
2024-07-25 00:00:00+00:00,4,3,13,2
2024-07-26 00:00:00+00:00,4,2,0,0
2024-07-28 00:00:00+00:00,3,1,0,0
2024-07-31 00:00:00+00:00,1,1,45,2
2024-08-01 00:00:00+00:00,2,2,36,2
2024-08-02 00:00:00+00:00,3,3,13,1
2024-08-04 00:00:00+00:00,2,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,2,1,0,0
2024-08-07 00:00:00+00:00,3,1,0,0
2024-08-08 00:00:00+00:00,0,0,12,1
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,3,1,0,0
2024-08-14 00:00:00+00:00,1,1,2,1
2024-08-16 00:00:00+00:00,5,2,0,0
2024-08-18 00:00:00+00:00,2,1,0,0
2024-08-19 00:00:00+00:00,2,1,0,0
2024-08-20 00:00:00+00:00,3,2,0,0
2024-08-21 00:00:00+00:00,2,1,0,0
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,4,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,4,3,0,0
2024-08-31 00:00:00+00:00,5,5,0,0
2024-09-01 00:00:00+00:00,2,1,0,0
2024-09-02 00:00:00+00:00,3,2,0,0
2024-09-04 00:00:00+00:00,2,2,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,3,3,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,4,3,0,0
2024-09-18 00:00:00+00:00,2,1,0,0
2024-09-20 00:00:00+00:00,5,4,0,0
2024-09-21 00:00:00+00:00,2,2,0,0
2024-09-23 00:00:00+00:00,3,3,0,0
2024-09-25 00:00:00+00:00,1,1,1,1
2024-09-26 00:00:00+00:00,4,4,15,2
2024-09-27 00:00:00+00:00,4,2,7,2
2024-09-28 00:00:00+00:00,2,1,0,0
2024-09-30 00:00:00+00:00,3,2,18,4
2024-10-01 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,2,1,0,0
2024-10-05 00:00:00+00:00,1,1,0,0
2024-10-06 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,2,1,0,0
2024-10-09 00:00:00+00:00,0,0,23,1
2024-10-10 00:00:00+00:00,3,1,0,0
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,4,2,0,0
2024-10-13 00:00:00+00:00,2,1,0,0
2024-10-14 00:00:00+00:00,2,2,0,0
2024-10-15 00:00:00+00:00,2,2,0,0
2024-10-16 00:00:00+00:00,2,1,0,0
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,1,1,0,0
2024-10-19 00:00:00+00:00,1,1,0,0
2024-10-21 00:00:00+00:00,2,2,0,0
